2.39;162.67;160;160.20;170.76;11448
160.65;463.79;160.00;160;160.21;170.77;11448
160.98;462.57;160.00;160;158.14;164.24;11340
Starting data acquisition...
v_mean;pwm
0.00;0.00;0.00;120;251.16;255.00;1056
52.62;169.38;0.00;120;207.49;255.00;11100
80.88;229.20;0.00;120;159.89;169.74;11116
82.19;220.43;26.33;120;148.73;139.80;11244
81.69;225.29;99.00;120;154.16;152.87;11228
96.94;289.59;139.33;120;153.30;150.62;11240
118.91;358.18;141.67;120;133.40;114.63;11428
130.17;382.16;141.67;120;114.57;97.09;11340
130.76;378.88;144.33;120;110.05;93.41;11380
129.23;374.80;141.67;120;111.97;95.00;11272
128.32;372.11;138.67;120;112.90;95.75;11296
127.41;369.05;138.67;120;113.55;96.27;11268
126.87;367.84;136.00;120;114.44;96.98;11384
126.35;365.87;131.00;120;114.62;97.13;11272
125.07;360.99;129.33;120;115.11;97.52;11292
123.76;357.27;129.33;120;116.58;98.70;11296
123.27;356.42;128.67;120;117.53;99.47;11392
123.22;356.29;125.33;120;117.63;99.55;11276
122.63;353.72;124.33;120;117.57;99.51;11388
121.83;351.37;124.33;120;118.40;100.18;11288
121.50;350.74;123.67;120;119.02;100.68;11336
121.41;350.43;120.67;120;119.10;100.75;11360
120.83;348.00;120.67;120;119.12;100.76;11340
120.26;346.57;120.67;120;119.91;101.42;11348
120.14;346.46;121.00;120;120.24;101.69;11360
120.26;346.95;121.00;120;120.23;101.68;11332
120.37;347.24;119.00;120;120.07;101.54;11348
120.05;345.70;120.33;120;119.96;101.45;11316
119.89;345.73;120.33;120;120.51;101.91;11344
120.04;346.25;122.67;120;120.40;101.82;11444
120.54;348.28;122.00;120;120.30;101.74;11336
120.88;348.87;123.00;120;119.64;101.19;11428
121.01;349.38;123.00;120;119.59;101.15;11332
121.12;349.64;124.33;120;119.43;101.02;11340
121.37;350.67;122.67;120;119.41;101.00;11356
121.32;349.97;122.67;120;119.03;100.69;11336
121.05;349.21;122.67;120;119.33;100.93;11340
120.95;349.03;123.00;120;119.53;101.10;11336
