Starting data acquisition...
v_mean;pwm
0.00;0;0.00
0.00;1;0.00
0.00;2;0.00
0.00;3;0.00
0.00;4;0.00
0.00;5;0.00
0.00;6;0.00
0.00;7;0.00
0.00;8;0.00
0.00;9;0.00
0.00;10;0.00
0.00;11;0.00
0.00;12;0.00
0.00;13;0.00
0.00;14;0.00
0.00;15;0.00
0.00;16;0.00
0.00;17;0.00
0.00;18;0.00
0.00;19;0.00
0.00;20;0.00
0.00;21;0.00
0.00;22;0.00
0.00;23;0.00
0.00;24;0.00
0.00;25;0.00
0.00;26;0.00
0.00;27;0.00
0.00;28;0.00
0.00;29;0.00
0.00;30;0.00
0.00;31;0.00
0.00;32;0.00
0.00;33;0.00
0.00;34;0.00
0.00;35;0.00
0.00;36;0.00
0.00;37;0.00
0.00;38;0.00
0.00;39;0.00
0.00;40;0.00
0.00;41;0.00
0.00;42;0.00
0.00;43;0.00
0.00;44;0.00
0.00;45;0.00
0.00;46;0.00
0.00;47;0.00
0.00;48;0.00
0.00;49;0.00
0.00;50;0.00
0.00;51;0.00
0.00;52;0.00
0.00;53;0.00
0.00;54;0.00
0.00;55;0.00
0.00;56;0.00
0.00;57;0.00
0.00;58;0.00
0.00;59;0.00
0.00;60;0.00
0.00;61;0.00
0.00;62;0.00
0.00;63;0.00
0.00;64;1.42
0.00;65;5.39
0.00;66;9.23
0.00;67;12.95
0.00;68;16.55
0.00;69;20.03
0.00;70;23.40
0.00;71;26.67
0.00;72;29.82
0.00;73;32.86
0.00;74;35.81
0.00;75;38.65
0.00;76;41.39
0.00;77;44.04
0.00;78;46.59
0.00;79;49.05
0.00;80;51.42
0.00;81;53.71
0.00;82;55.91
0.00;83;58.03
0.00;84;60.07
0.00;85;62.03
0.00;86;63.92
0.00;87;65.74
0.00;88;67.49
0.00;89;69.17
0.00;90;70.78
0.00;91;72.34
0.00;92;73.83
0.00;93;75.27
0.00;94;76.66
0.00;95;77.99
0.00;96;79.27
0.00;97;80.50
0.00;98;81.69
0.00;99;82.84
0.00;100;83.95
0.00;101;85.02
0.00;102;86.05
98.99;103;87.05
101.00;104;88.03
101.71;105;88.97
102.58;106;89.89
103.57;107;90.79
104.68;108;91.66
105.82;109;92.52
107.56;110;93.37
108.60;111;94.20
110.30;112;95.02
110.02;113;95.83
111.31;114;96.63
112.43;115;97.44
113.24;116;98.24
115.08;117;99.04
115.27;118;99.85
115.33;119;100.67
116.49;120;101.49
117.34;121;102.33
119.79;122;103.17
122.00;123;104.04
122.00;124;104.93
121.96;125;105.83
121.90;126;106.76
122.20;127;107.72
122.07;128;108.70
122.03;129;109.72
122.08;130;110.77
127.18;131;111.86
126.57;132;112.98
127.54;133;114.15
128.52;134;115.36
129.37;135;116.61
130.11;136;117.92
131.77;137;119.27
132.72;138;120.68
134.07;139;122.14
135.03;140;123.67
136.30;141;125.25
137.18;142;126.89
137.38;143;128.60
138.56;144;130.38
139.87;145;132.23
141.78;146;134.16
142.59;147;136.15
143.81;148;138.23
144.38;149;140.38
146.66;150;142.62
146.90;151;144.95
148.88;152;147.36
149.36;153;149.86
149.64;154;152.45
151.90;155;155.14
153.10;156;157.93
154.63;157;160.81
155.82;158;163.80
156.42;159;166.90
156.96;160;170.10
158.08;161;173.41
159.44;162;176.83
160.40;163;180.37
161.09;164;184.02
162.18;165;187.79
163.19;166;191.69
164.36;167;195.71
166.01;168;199.86
166.94;169;204.13
168.22;170;208.54
169.14;171;213.08
170.06;172;217.76
171.29;173;222.58
172.29;174;227.54
173.38;175;232.64
174.42;176;237.89
175.82;177;243.29
175.76;178;248.84
181.29;179;254.54
72.67;0;0.00
72.67;1;0.00
72.67;2;0.00
72.67;3;0.00
72.67;4;0.00
72.67;5;0.00
72.67;6;0.00
72.67;7;0.00
72.67;8;0.00
72.67;9;0.00
72.67;10;0.00
72.67;11;0.00
72.67;12;0.00
72.67;13;0.00
72.67;14;0.00
72.67;15;0.00
72.67;16;0.00
72.67;17;0.00
72.67;18;0.00
72.67;19;0.00
72.67;20;0.00
72.67;21;0.00
72.67;22;0.00
72.67;23;0.00
72.67;24;0.00
72.67;25;0.00
72.67;26;0.00
72.67;27;0.00
72.67;28;0.00
72.67;29;0.00
72.67;30;0.00
72.67;31;0.00
72.67;32;0.00
72.67;33;0.00
72.67;34;0.00
72.67;35;0.00
72.67;36;0.00
72.67;37;0.00
Connected.
Connected.

Disconnected.
